2024-08-11 00:03:07.697+0000 [id=1]	INFO	winstone.Logger#logInternal: Beginning extraction from war file
2024-08-11 00:03:08.902+0000 [id=1]	WARNING	o.e.j.s.handler.ContextHandler#setContextPath: Empty contextPath
2024-08-11 00:03:08.950+0000 [id=1]	INFO	org.eclipse.jetty.server.Server#doStart: jetty-10.0.20; built: 2024-01-29T20:46:45.278Z; git: 3a745c71c23682146f262b99f4ddc4c1bc41630c; jvm 21.0.4+8-LTS-274
2024-08-11 00:03:09.246+0000 [id=1]	INFO	o.e.j.w.StandardDescriptorProcessor#visitServlet: NO JSP Support for /, did not find org.eclipse.jetty.jsp.JettyJspServlet
2024-08-11 00:03:09.285+0000 [id=1]	INFO	o.e.j.s.s.DefaultSessionIdManager#doStart: Session workerName=node0
2024-08-11 00:03:09.614+0000 [id=1]	INFO	hudson.WebAppMain#contextInitialized: Jenkins home directory: C:\ProgramData\Jenkins\.jenkins found at: EnvVars.masterEnvVars.get("JENKINS_HOME")
2024-08-11 00:03:09.713+0000 [id=1]	INFO	o.e.j.s.handler.ContextHandler#doStart: Started w.@6c03fb16{Jenkins v2.462.1,/,file:///C:/ProgramData/Jenkins/war/,AVAILABLE}{C:\ProgramData\Jenkins\war}
2024-08-11 00:03:09.728+0000 [id=1]	INFO	o.e.j.server.AbstractConnector#doStart: Started ServerConnector@54eb2b70{HTTP/1.1, (http/1.1)}{0.0.0.0:1010}
2024-08-11 00:03:09.737+0000 [id=1]	INFO	org.eclipse.jetty.server.Server#doStart: Started Server@2796aeae{STARTING}[10.0.20,sto=0] @2407ms
2024-08-11 00:03:09.737+0000 [id=42]	INFO	winstone.Logger#logInternal: Winstone Servlet Engine running: controlPort=disabled
2024-08-11 00:03:09.923+0000 [id=50]	INFO	jenkins.InitReactorRunner$1#onAttained: Started initialization
2024-08-11 00:03:09.924+0000 [id=72]	INFO	jenkins.InitReactorRunner$1#onAttained: Listed all plugins
2024-08-11 00:03:10.549+0000 [id=69]	INFO	jenkins.InitReactorRunner$1#onAttained: Prepared all plugins
2024-08-11 00:03:10.553+0000 [id=69]	INFO	jenkins.InitReactorRunner$1#onAttained: Started all plugins
